input_prompt,response,category,context
I don't know how to deal with my stress at work.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Loneliness,Social Isolation
I feel like my friends don't really care about me.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Anxiety,Future Uncertainty
I feel so anxious about my future.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Sleep Problems,Insomnia
I'm feeling really lonely lately.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Burnout,Low Motivation
I'm feeling really lonely lately.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Self-Esteem Issues,Low Confidence
I'm afraid I'm going to lose my job.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Guilt,Regret
I'm feeling really lonely lately.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Job Crisis,Job Insecurity
My partner and I are constantly arguing.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Stress,Work Pressure
I feel like my friends don't really care about me.,Loneliness is hard. Reaching out to friends or joining a group can help you feel more connected.,Stress,Work Pressure
I feel like I'm not good enough.,Loneliness is hard. Reaching out to friends or joining a group can help you feel more connected.,Anxiety,Future Uncertainty
I feel so anxious about my future.,"Feeling inadequate is tough, but remember that you're doing your best. Try to focus on your strengths and progress.",Anxiety,Future Uncertainty
I'm feeling really lonely lately.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Stress,Work Pressure
I haven't been sleeping well for weeks.,Job insecurity is stressful. Try discussing your concerns with your employer or exploring other opportunities.,Burnout,Low Motivation
I feel so anxious about my future.,It can be tough when you feel unsupported. Consider talking to your friends about how you're feeling.,Relationship Issues,Frequent Arguments
I'm finding it hard to motivate myself to do anything.,"It's normal to feel anxious, but try to focus on the things you can control. Taking small steps can help.",Anxiety,Future Uncertainty
I can't stop thinking about the mistakes I've made.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Job Crisis,Job Insecurity
I'm afraid I'm going to lose my job.,Work stress can be overwhelming. It's important to take breaks and try mindfulness exercises.,Self-Esteem Issues,Low Confidence
I can't stop thinking about the mistakes I've made.,"Everyone makes mistakes, but it's important to learn from them and move forward. Be kind to yourself.",Guilt,Regret
My partner and I are constantly arguing.,Lack of sleep can impact your mental health. Consider developing a bedtime routine and avoiding screens before bed.,Loneliness,Social Isolation
My partner and I are constantly arguing.,"Lack of motivation can be a sign of burnout. Try setting small, achievable goals and give yourself breaks.",Job Crisis,Job Insecurity
