input_prompt,response,category,context
I'm struggling with angry. Can you help?,[Response Placeholder],Anger,Procrastination
Why do I always feel worthless?,[Response Placeholder],Loneliness,Body Image Issues
How do I deal with angry?,[Response Placeholder],Anxiety,Decision-Making
How do I deal with overwhelmed?,[Response Placeholder],Stress,Work Stress
How do I stop stressed?,[Response Placeholder],Anxiety,Insomnia
How can I handle stressed in my life?,[Response Placeholder],Anger,Body Image Issues
I'm struggling with worried. Can you help?,[Response Placeholder],Panic Attacks,Work Stress
Can you help me with upset?,[Response Placeholder],Anger,Decision-Making
Why does fearful feel so overwhelming?,[Response Placeholder],Loneliness,Self-Worth
What are some ways to manage anxious?,[Response Placeholder],Grief,Body Image Issues
What can I do when I'm feeling sad?,[Response Placeholder],Social Anxiety,Fear of Rejection
I'm struggling with angry. Can you help?,[Response Placeholder],Anger,Trouble Concentrating
Can you help me with upset?,[Response Placeholder],Grief,Work Stress
How do I stop angry?,[Response Placeholder],Social Anxiety,Procrastination
What are some ways to manage unloved?,[Response Placeholder],Stress,Procrastination
Why do I always feel nervous?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
What can I do when stressed affects me?,[Response Placeholder],Stress,Emotional Exhaustion
How can I get over angry?,[Response Placeholder],Relationship Issues,Overthinking
Why does lonely feel so overwhelming?,[Response Placeholder],Relationship Issues,Social Isolation
How do I stop unloved?,[Response Placeholder],Self-Esteem,Future Uncertainty
What can I do when I'm feeling angry?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
I can't stop feeling stressed. What should I do?,[Response Placeholder],Sadness,Self-Worth
What are some ways to manage insecure?,[Response Placeholder],Fear,Decision-Making
Can you help me with fearful?,[Response Placeholder],Guilt,Trouble Concentrating
I can't stop feeling unloved. What should I do?,[Response Placeholder],Social Anxiety,Procrastination
Why does guilty feel so overwhelming?,[Response Placeholder],Panic Attacks,Feeling Unsupported
What can I do when I'm feeling anxious?,[Response Placeholder],Self-Esteem,Decision-Making
What can I do when stressed affects me?,[Response Placeholder],Sadness,Perfectionism
How do I deal with worried?,[Response Placeholder],Grief,Procrastination
Why do I feel lonely?,[Response Placeholder],Burnout,Decision-Making
How do I deal with nervous?,[Response Placeholder],Social Anxiety,Work Stress
How can I get over angry?,[Response Placeholder],Sadness,Social Isolation
I'm struggling with guilty. Can you help?,[Response Placeholder],Fear,Self-Worth
What should I do when insecure?,[Response Placeholder],Depression,Procrastination
How can I cope with angry?,[Response Placeholder],Burnout,Body Image Issues
What should I do when anxious?,[Response Placeholder],Loneliness,Overthinking
I can't stop feeling stressed. What should I do?,[Response Placeholder],Anger,Insomnia
Why do I always feel worried?,[Response Placeholder],Self-Esteem,Perfectionism
How can I get over insecure?,[Response Placeholder],Burnout,Work Stress
How do I deal with upset?,[Response Placeholder],Self-Esteem,Social Isolation
How do I deal with upset?,[Response Placeholder],Anger,Social Isolation
What are some ways to manage anxious?,[Response Placeholder],Grief,Fear of Rejection
I can't stop feeling worried. What should I do?,[Response Placeholder],Burnout,Regret
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Guilt,Procrastination
How can I cope with worried?,[Response Placeholder],Self-Esteem,Social Isolation
What can I do when worried affects me?,[Response Placeholder],Guilt,Work Stress
I'm struggling with nervous. Can you help?,[Response Placeholder],Grief,Emotional Exhaustion
How can I handle fearful in my life?,[Response Placeholder],Anger,Overthinking
I can't stop feeling lonely. What should I do?,[Response Placeholder],Stress,Social Isolation
How can I handle stressed in my life?,[Response Placeholder],Sadness,Regret
What are some ways to manage hopeless?,[Response Placeholder],Self-Esteem,Work Stress
I can't stop feeling insecure. What should I do?,[Response Placeholder],Anxiety,Perfectionism
Why do I feel worthless?,[Response Placeholder],Anger,Fear of Rejection
How do I deal with angry?,[Response Placeholder],Relationship Issues,Self-Worth
I can't stop feeling upset. What should I do?,[Response Placeholder],Anger,Body Image Issues
What should I do when overwhelmed?,[Response Placeholder],Self-Esteem,Insomnia
Why do I feel worried?,[Response Placeholder],Fear,Decision-Making
How do I stop overwhelmed?,[Response Placeholder],Burnout,Procrastination
What are some ways to manage worried?,[Response Placeholder],Sadness,Self-Worth
Why do I always feel insecure?,[Response Placeholder],Burnout,Fear of Rejection
Can you help me with nervous?,[Response Placeholder],Anxiety,Decision-Making
What should I do when sad?,[Response Placeholder],Loneliness,Work Stress
What can I do when insecure affects me?,[Response Placeholder],Grief,Trouble Concentrating
How can I cope with guilty?,[Response Placeholder],Burnout,Emotional Exhaustion
Can you help me with hopeless?,[Response Placeholder],Loneliness,Perfectionism
What can I do when I'm feeling stressed?,[Response Placeholder],Stress,Fear of Rejection
What are some ways to manage guilty?,[Response Placeholder],Burnout,Emotional Exhaustion
Why do I always feel nervous?,[Response Placeholder],Grief,Perfectionism
How can I get over lonely?,[Response Placeholder],Self-Esteem,Overthinking
Can you help me with stressed?,[Response Placeholder],Stress,Decision-Making
I'm struggling with fearful. Can you help?,[Response Placeholder],Self-Esteem,Social Isolation
Why do I feel hopeless?,[Response Placeholder],Panic Attacks,Self-Worth
Can you help me with overwhelmed?,[Response Placeholder],Guilt,Procrastination
Why does fearful feel so overwhelming?,[Response Placeholder],Guilt,Self-Worth
What should I do when nervous?,[Response Placeholder],Social Anxiety,Feeling Unsupported
How can I handle nervous in my life?,[Response Placeholder],Sleep Problems,Decision-Making
How do I deal with insecure?,[Response Placeholder],Depression,Perfectionism
Why does nervous feel so overwhelming?,[Response Placeholder],Sleep Problems,Self-Worth
How can I cope with nervous?,[Response Placeholder],Anger,Perfectionism
I'm struggling with worried. Can you help?,[Response Placeholder],Fear,Social Isolation
Can you help me with fearful?,[Response Placeholder],Social Anxiety,Body Image Issues
How can I get over stressed?,[Response Placeholder],Burnout,Future Uncertainty
Why do I always feel fearful?,[Response Placeholder],Anger,Self-Worth
How can I get over stressed?,[Response Placeholder],Fear,Work Stress
Why do I feel unloved?,[Response Placeholder],Relationship Issues,Feeling Unsupported
What should I do when hopeless?,[Response Placeholder],Sleep Problems,Work Stress
How do I stop upset?,[Response Placeholder],Burnout,Regret
How can I cope with sad?,[Response Placeholder],Depression,Decision-Making
What can I do when fearful affects me?,[Response Placeholder],Self-Esteem,Self-Worth
I'm struggling with lonely. Can you help?,[Response Placeholder],Anxiety,Social Isolation
I'm struggling with hopeless. Can you help?,[Response Placeholder],Loneliness,Trouble Concentrating
Why do I feel stressed?,[Response Placeholder],Anxiety,Feeling Unsupported
How can I handle sad in my life?,[Response Placeholder],Stress,Feeling Unsupported
I can't stop feeling upset. What should I do?,[Response Placeholder],Anger,Feeling Unsupported
